roster,capacity,hand_size,days,window,discard_limit,gain_threshold,budget,seed,focal_seats,opponent_revision,timeout,embarrassment,total_spent,budget_remaining,sockless_days,faults,fault_details,budget_exhausted_on_day,source_sha256,python_version
"2,2,2,2",28,4,730,40,1,6,120.0,4029,"0,1,2,3",8ddbf1da444305a57c12cf2b9c60b04f5ffbdd6b,1,610.5,120.0,0.0,0,0,,718,640cb7b3450d4ffa1f74d9e5c8901966f766738b3abb9c71c2aa8a972c15a6d8,3.13.13
"2,2,2,2",28,4,730,40,1,6,120.0,4030,"0,1,2,3",8ddbf1da444305a57c12cf2b9c60b04f5ffbdd6b,1,1653.0,110.0,10.0,0,0,,,640cb7b3450d4ffa1f74d9e5c8901966f766738b3abb9c71c2aa8a972c15a6d8,3.13.13
"2,2,2,2",28,4,730,40,1,6,400.0,4001,"0,1,2,3",8ddbf1da444305a57c12cf2b9c60b04f5ffbdd6b,1,964.5,130.0,270.0,0,0,,,640cb7b3450d4ffa1f74d9e5c8901966f766738b3abb9c71c2aa8a972c15a6d8,3.13.13
"2,2,2,2",28,4,730,40,1,6,400.0,4002,"0,1,2,3",8ddbf1da444305a57c12cf2b9c60b04f5ffbdd6b,1,605.5,130.0,270.0,0,0,,,640cb7b3450d4ffa1f74d9e5c8901966f766738b3abb9c71c2aa8a972c15a6d8,3.13.13
"2,2,2,2",28,4,730,40,1,6,400.0,4003,"0,1,2,3",8ddbf1da444305a57c12cf2b9c60b04f5ffbdd6b,1,416.0,140.0,260.0,0,0,,,640cb7b3450d4ffa1f74d9e5c8901966f766738b3abb9c71c2aa8a972c15a6d8,3.13.13
"2,2,2,2",28,4,730,40,1,6,400.0,4004,"0,1,2,3",8ddbf1da444305a57c12cf2b9c60b04f5ffbdd6b,1,1121.25,140.0,260.0,0,0,,,640cb7b3450d4ffa1f74d9e5c8901966f766738b3abb9c71c2aa8a972c15a6d8,3.13.13
"2,2,2,2",28,4,730,40,1,6,400.0,4005,"0,1,2,3",8ddbf1da444305a57c12cf2b9c60b04f5ffbdd6b,1,377.0,130.0,270.0,0,0,,,640cb7b3450d4ffa1f74d9e5c8901966f766738b3abb9c71c2aa8a972c15a6d8,3.13.13
"2,2,2,2",28,4,730,40,1,6,400.0,4006,"0,1,2,3",8ddbf1da444305a57c12cf2b9c60b04f5ffbdd6b,1,596.0,130.0,270.0,0,0,,,640cb7b3450d4ffa1f74d9e5c8901966f766738b3abb9c71c2aa8a972c15a6d8,3.13.13
"2,2,2,2",28,4,730,40,1,6,400.0,4007,"0,1,2,3",8ddbf1da444305a57c12cf2b9c60b04f5ffbdd6b,1,907.25,120.0,280.0,0,0,,,640cb7b3450d4ffa1f74d9e5c8901966f766738b3abb9c71c2aa8a972c15a6d8,3.13.13
"2,2,2,2",28,4,730,40,1,6,400.0,4008,"0,1,2,3",8ddbf1da444305a57c12cf2b9c60b04f5ffbdd6b,1,417.25,120.0,280.0,0,0,,,640cb7b3450d4ffa1f74d9e5c8901966f766738b3abb9c71c2aa8a972c15a6d8,3.13.13
"2,2,2,2",28,4,730,40,1,6,400.0,4009,"0,1,2,3",8ddbf1da444305a57c12cf2b9c60b04f5ffbdd6b,1,860.25,130.0,270.0,0,0,,,640cb7b3450d4ffa1f74d9e5c8901966f766738b3abb9c71c2aa8a972c15a6d8,3.13.13
"2,2,2,2",28,4,730,40,1,6,400.0,4010,"0,1,2,3",8ddbf1da444305a57c12cf2b9c60b04f5ffbdd6b,1,761.75,130.0,270.0,0,0,,,640cb7b3450d4ffa1f74d9e5c8901966f766738b3abb9c71c2aa8a972c15a6d8,3.13.13
"2,2,2,2",28,4,730,40,1,6,400.0,4011,"0,1,2,3",8ddbf1da444305a57c12cf2b9c60b04f5ffbdd6b,1,932.25,130.0,270.0,0,0,,,640cb7b3450d4ffa1f74d9e5c8901966f766738b3abb9c71c2aa8a972c15a6d8,3.13.13
"2,2,2,2",28,4,730,40,1,6,400.0,4012,"0,1,2,3",8ddbf1da444305a57c12cf2b9c60b04f5ffbdd6b,1,515.25,130.0,270.0,0,0,,,640cb7b3450d4ffa1f74d9e5c8901966f766738b3abb9c71c2aa8a972c15a6d8,3.13.13
"2,2,2,2",28,4,730,40,1,6,400.0,4013,"0,1,2,3",8ddbf1da444305a57c12cf2b9c60b04f5ffbdd6b,1,462.75,120.0,280.0,0,0,,,640cb7b3450d4ffa1f74d9e5c8901966f766738b3abb9c71c2aa8a972c15a6d8,3.13.13
"2,2,2,2",28,4,730,40,1,6,400.0,4014,"0,1,2,3",8ddbf1da444305a57c12cf2b9c60b04f5ffbdd6b,1,215.0,120.0,280.0,0,0,,,640cb7b3450d4ffa1f74d9e5c8901966f766738b3abb9c71c2aa8a972c15a6d8,3.13.13
"2,2,2,2",28,4,730,40,1,6,400.0,4015,"0,1,2,3",8ddbf1da444305a57c12cf2b9c60b04f5ffbdd6b,1,640.5,130.0,270.0,0,0,,,640cb7b3450d4ffa1f74d9e5c8901966f766738b3abb9c71c2aa8a972c15a6d8,3.13.13
"2,2,2,2",28,4,730,40,1,6,400.0,4016,"0,1,2,3",8ddbf1da444305a57c12cf2b9c60b04f5ffbdd6b,1,213.0,120.0,280.0,0,0,,,640cb7b3450d4ffa1f74d9e5c8901966f766738b3abb9c71c2aa8a972c15a6d8,3.13.13
"2,2,2,2",28,4,730,40,1,6,400.0,4017,"0,1,2,3",8ddbf1da444305a57c12cf2b9c60b04f5ffbdd6b,1,225.75,120.0,280.0,0,0,,,640cb7b3450d4ffa1f74d9e5c8901966f766738b3abb9c71c2aa8a972c15a6d8,3.13.13
"2,2,2,2",28,4,730,40,1,6,400.0,4018,"0,1,2,3",8ddbf1da444305a57c12cf2b9c60b04f5ffbdd6b,1,256.5,120.0,280.0,0,0,,,640cb7b3450d4ffa1f74d9e5c8901966f766738b3abb9c71c2aa8a972c15a6d8,3.13.13
"2,2,2,2",28,4,730,40,1,6,400.0,4019,"0,1,2,3",8ddbf1da444305a57c12cf2b9c60b04f5ffbdd6b,1,580.0,140.0,260.0,0,0,,,640cb7b3450d4ffa1f74d9e5c8901966f766738b3abb9c71c2aa8a972c15a6d8,3.13.13
"2,2,2,2",28,4,730,40,1,6,400.0,4020,"0,1,2,3",8ddbf1da444305a57c12cf2b9c60b04f5ffbdd6b,1,141.25,120.0,280.0,0,0,,,640cb7b3450d4ffa1f74d9e5c8901966f766738b3abb9c71c2aa8a972c15a6d8,3.13.13
"2,2,2,2",28,4,730,40,1,6,400.0,4021,"0,1,2,3",8ddbf1da444305a57c12cf2b9c60b04f5ffbdd6b,1,498.5,130.0,270.0,0,0,,,640cb7b3450d4ffa1f74d9e5c8901966f766738b3abb9c71c2aa8a972c15a6d8,3.13.13
"2,2,2,2",28,4,730,40,1,6,400.0,4022,"0,1,2,3",8ddbf1da444305a57c12cf2b9c60b04f5ffbdd6b,1,471.0,130.0,270.0,0,0,,,640cb7b3450d4ffa1f74d9e5c8901966f766738b3abb9c71c2aa8a972c15a6d8,3.13.13
"2,2,2,2",28,4,730,40,1,6,400.0,4023,"0,1,2,3",8ddbf1da444305a57c12cf2b9c60b04f5ffbdd6b,1,468.25,120.0,280.0,0,0,,,640cb7b3450d4ffa1f74d9e5c8901966f766738b3abb9c71c2aa8a972c15a6d8,3.13.13
"2,2,2,2",28,4,730,40,1,6,400.0,4024,"0,1,2,3",8ddbf1da444305a57c12cf2b9c60b04f5ffbdd6b,1,1178.0,140.0,260.0,0,0,,,640cb7b3450d4ffa1f74d9e5c8901966f766738b3abb9c71c2aa8a972c15a6d8,3.13.13
"2,2,2,2",28,4,730,40,1,6,400.0,4025,"0,1,2,3",8ddbf1da444305a57c12cf2b9c60b04f5ffbdd6b,1,186.5,130.0,270.0,0,0,,,640cb7b3450d4ffa1f74d9e5c8901966f766738b3abb9c71c2aa8a972c15a6d8,3.13.13
"2,2,2,2",28,4,730,40,1,6,400.0,4026,"0,1,2,3",8ddbf1da444305a57c12cf2b9c60b04f5ffbdd6b,1,187.25,120.0,280.0,0,0,,,640cb7b3450d4ffa1f74d9e5c8901966f766738b3abb9c71c2aa8a972c15a6d8,3.13.13
"2,2,2,2",28,4,730,40,1,6,400.0,4027,"0,1,2,3",8ddbf1da444305a57c12cf2b9c60b04f5ffbdd6b,1,1528.25,130.0,270.0,0,0,,,640cb7b3450d4ffa1f74d9e5c8901966f766738b3abb9c71c2aa8a972c15a6d8,3.13.13
"2,2,2,2",28,4,730,40,1,6,400.0,4028,"0,1,2,3",8ddbf1da444305a57c12cf2b9c60b04f5ffbdd6b,1,949.25,120.0,280.0,0,0,,,640cb7b3450d4ffa1f74d9e5c8901966f766738b3abb9c71c2aa8a972c15a6d8,3.13.13
"2,2,2,2",28,4,730,40,1,6,400.0,4029,"0,1,2,3",8ddbf1da444305a57c12cf2b9c60b04f5ffbdd6b,1,579.25,120.0,280.0,0,0,,,640cb7b3450d4ffa1f74d9e5c8901966f766738b3abb9c71c2aa8a972c15a6d8,3.13.13
"2,2,2,2",28,4,730,40,1,6,400.0,4030,"0,1,2,3",8ddbf1da444305a57c12cf2b9c60b04f5ffbdd6b,1,208.75,130.0,270.0,0,0,,,640cb7b3450d4ffa1f74d9e5c8901966f766738b3abb9c71c2aa8a972c15a6d8,3.13.13
"2,r,r,r",28,4,730,40,1,6,120.0,4001,0,8ddbf1da444305a57c12cf2b9c60b04f5ffbdd6b,1,1031.0,120.0,0.0,0,0,,,c6de34ddd996d8ac0f9a316066b74e0161563d2be3b3b45a6cb8a623a4a87552,3.13.13
"2,r,r,r",28,4,730,40,1,6,120.0,4002,0,8ddbf1da444305a57c12cf2b9c60b04f5ffbdd6b,1,1637.0,120.0,0.0,0,0,,,c6de34ddd996d8ac0f9a316066b74e0161563d2be3b3b45a6cb8a623a4a87552,3.13.13
"2,r,r,r",28,4,730,40,1,6,120.0,4003,0,8ddbf1da444305a57c12cf2b9c60b04f5ffbdd6b,1,2477.0,120.0,0.0,0,0,,,c6de34ddd996d8ac0f9a316066b74e0161563d2be3b3b45a6cb8a623a4a87552,3.13.13
"2,r,r,r",28,4,730,40,1,6,120.0,4004,0,8ddbf1da444305a57c12cf2b9c60b04f5ffbdd6b,1,1502.0,120.0,0.0,0,0,,,c6de34ddd996d8ac0f9a316066b74e0161563d2be3b3b45a6cb8a623a4a87552,3.13.13
"2,r,r,r",28,4,730,40,1,6,120.0,4005,0,8ddbf1da444305a57c12cf2b9c60b04f5ffbdd6b,1,1611.0,120.0,0.0,0,0,,,c6de34ddd996d8ac0f9a316066b74e0161563d2be3b3b45a6cb8a623a4a87552,3.13.13
"2,r,r,r",28,4,730,40,1,6,120.0,4006,0,8ddbf1da444305a57c12cf2b9c60b04f5ffbdd6b,1,1054.0,120.0,0.0,0,0,,,c6de34ddd996d8ac0f9a316066b74e0161563d2be3b3b45a6cb8a623a4a87552,3.13.13
"2,r,r,r",28,4,730,40,1,6,120.0,4007,0,8ddbf1da444305a57c12cf2b9c60b04f5ffbdd6b,1,2138.0,120.0,0.0,0,0,,,c6de34ddd996d8ac0f9a316066b74e0161563d2be3b3b45a6cb8a623a4a87552,3.13.13
"2,r,r,r",28,4,730,40,1,6,120.0,4008,0,8ddbf1da444305a57c12cf2b9c60b04f5ffbdd6b,1,2156.0,120.0,0.0,0,0,,,c6de34ddd996d8ac0f9a316066b74e0161563d2be3b3b45a6cb8a623a4a87552,3.13.13
